validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
False,Hartford Heights Volunteer Fire Department,Fire Department,"14335 U.S. 30, Irwin, PA 15642",https://www.facebook.com/Hartford-Heights-VFD-336938100039050/,"Friday Mar 4 from 4:00 PM to 8:00 PM, Friday Mar 11 from 4:00 PM to 8:00 PM, Friday Mar 18 from 4:00 PM to 8:00 PM, Friday Mar 25 from 4:00 PM to 8:00 PM, Friday Apr 1 from 4:00 PM to 8:00 PM, Friday Apr 8 from 4:00 PM to 8:00 PM",,,,,412-824-9972,,False,True,,False,,False,,40.352969,-79.767295
True,"Our Lady of Joy, Holiday Park",Church,"2000 O'Block Road Holiday Park, PA",https://holyfamilypgh.org/,"Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM, Wednesday Mar 2 from 4:00 PM to 7:00 PM, Friday Apr 15 from 4:00 PM to 7:00 PM",,https://www.facebook.com/HolyFamilyPGH/photos/a.678008899014464/2168094103339262/,"Hand breaded fish dinner $14 includes fries, slaw, bun, dessert, beverage",,412-828-9846,,,True,,False,,True,,40.480007,-79.719563
False,St. John Benwood,Church,"700 Main Street, Benwood, West Virginia 26031, United States",https://www.facebook.com/stjohnparishbenwoodwv/,"Friday Mar 11 from 11:00 AM to 6:00 PM, Friday Mar 18 from 11:00 AM to 6:00 PM, Friday Mar 25 from 11:00 AM to 6:00 PM, Friday Apr 1 from 11:00 AM to 6:00 PM, Friday Apr 8 from 11:00 AM to 6:00 PM",,,,St John Benwood Fellowship Hall,304-905-8036,,False,True,,True,,False,,40.016004,-80.734844
False,Historic Church of St. Peter,Church,"118 Church Street, Brownsville, Pennsylvania 15417, United States",http://www.stpeterstcecilia.org/home-2,"Wednesday Mar 2 from 11:00 AM to 2:00 PM, Wednesday Mar 2 from 4:00 PM to 7:00 PM, Friday Mar 4 from 11:00 AM to 2:00 PM, Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 11:00 AM to 2:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 11:00 AM to 2:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 25 from 11:00 AM to 2:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 11:00 AM to 2:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 11:00 AM to 2:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM, Friday Apr 15 from 11:00 AM to 2:00 PM, Friday Apr 15 from 4:00 PM to 7:00 PM",,,,,724-364-7070,,True,True,,True,,False,,40.023986,-79.881267
True,Bobtown and Dunkard Twp Volunteer Fire,Fire Department,"1 Larimer Ave Bobtown, Pa 15315",https://www.facebook.com/Bobtown-Dunkard-Township-Volunteer-Fire-Company-186206404761913/,"Wednesday Mar 2 from 11:00 AM to 7:00 PM, Friday Mar 4 from 11:00 AM to 7:00 PM, Friday Mar 11 from 11:00 AM to 7:00 PM, Friday Mar 18 from 11:00 AM to 7:00 PM, Friday Mar 25 from 11:00 AM to 7:00 PM, Friday Apr 1 from 11:00 AM to 7:00 PM, Friday Apr 8 from 11:00 AM to 7:00 PM, Friday Apr 15 from 11:00 AM to 7:00 PM",,https://www.facebook.com/186206404761913/photos/a.638412672874615/4805524952830012/,,,724-839-7140,,False,True,False,True,,True,,39.759173,-79.980159
False,Tower Restaurant,Restaurant,"680 W Chestnut St Washington, PA 15301",https://www.facebook.com/towerrestaurantwashington/,,,,,,724-222-5952,,,True,,True,,False,,40.169556,-80.260334
True,"St. Patrick, Canonsburg",Church," 317 W Pike St, Canonsburg, PA 15317",https://romeroparish.org/,"Wednesday Mar 2 from 11:00 AM to 7:00 PM, Friday Mar 4 from 11:00 AM to 7:00 PM, Friday Mar 11 from 11:00 AM to 7:00 PM, Friday Mar 18 from 11:00 AM to 7:00 PM, Friday Mar 25 from 11:00 AM to 7:00 PM, Friday Apr 1 from 11:00 AM to 7:00 PM, Friday Apr 8 from 11:00 AM to 7:00 PM",,https://romeroparish.org/fishfry,,,724-746-9778,,False,True,False,False,,True,,40.258009,-80.195076
False,"St. Malachy, Kennedy Township",Church,"343 Forest Grove Road Kennedy Township, PA",https://www.archangelgabrielparish.org/,,,,,,412-771-0848,,,,,,,False,,40.47763,-80.10313
True,West Newton Moose Lodge 31,Community Organization,"102 S Water St, West Newton, Pennsylvania 15089, United States",https://www.facebook.com/westnewtonmooselodge31/,"Friday Apr 15 from 5:00 PM to 8:00 PM, Friday Apr 8 from 5:00 PM to 8:00 PM, Friday Apr 1 from 5:00 PM to 8:00 PM, Friday Mar 25 from 5:00 PM to 8:00 PM, Friday Mar 18 from 5:00 PM to 8:00 PM, Friday Mar 11 from 5:00 PM to 8:00 PM, Friday Mar 4 from 5:00 PM to 8:00 PM",,,,eat in or take out,724-872-7264 or 724-875-2397,,,True,,False,,True,,40.210123,-79.768056
False,Centerville American Legion Post 705,Veteran's Organization,1101 Old National Pike Fredericktown PA 15333,https://www.facebook.com/CALPost705/,"Friday Mar 4 from 5:00 PM to 8:00 PM, Friday Mar 11 from 5:00 PM to 8:00 PM, Friday Mar 18 from 5:00 PM to 8:00 PM, Friday Mar 25 from 5:00 PM to 8:00 PM, Friday Apr 1 from 5:00 PM to 8:00 PM, Friday Apr 8 from 5:00 PM to 8:00 PM, Friday Apr 15 from 5:00 PM to 8:00 PM",,,,,724-632-9591,,False,True,False,False,,False,,40.047622,-79.987232
False,Fallowfield Township VFC,Fire Department,"1660 Pennsylvania Highway 481, Charleroi, Pennsylvania 15022, United States",https://www.facebook.com/Fallowfield-Fire-Company-1709768136013987,"Friday Apr 15 from 11:00 AM to 6:00 PM, Wednesday Mar 2 from 11:00 AM to 6:00 PM, Friday Apr 8 from 11:00 AM to 6:00 PM, Friday Apr 1 from 11:00 AM to 6:00 PM, Friday Mar 25 from 11:00 AM to 6:00 PM, Friday Mar 18 from 11:00 AM to 6:00 PM, Friday Mar 11 from 11:00 AM to 6:00 PM, Friday Mar 4 from 11:00 AM to 6:00 PM",,,,,724-483-8005,,,True,,True,,False,,40.137392,-79.950482
True,Riley's Pour House,Restaurant,"215 East Main Street, Carnegie, Pennsylvania 15106, United States",https://www.rileyspourhouse.com,"Friday Apr 15 from 11:00 AM to 11:30 PM, Friday Apr 8 from 11:00 AM to 11:30 PM, Friday Apr 1 from 11:00 AM to 11:30 PM, Friday Mar 25 from 11:00 AM to 11:30 PM, Friday Mar 18 from 11:00 AM to 11:30 PM, Friday Mar 11 from 11:00 AM to 11:30 PM, Friday Mar 4 from 11:00 AM to 11:30 PM",,https://www.rileyspourhouse.com/menu?fbclid=IwAR3aZ_HClccrcw21nePcf0n6Nzhm-OkTIRPZBa83c1opZQ9E_IDRSNeCBAo#menu=2022-lent-menu,,,412.279.0770,,False,,True,True,,True,,40.408625,-80.085221
True,Larimer VFD,Fire Department,"1340 Brownstown Rd., Larimer, PA",https://www.facebook.com/larimervfd/,"Friday Mar 4 from 4:00 PM to 7:00 PM, Friday Mar 11 from 4:00 PM to 7:00 PM, Friday Mar 18 from 4:00 PM to 7:00 PM, Friday Mar 25 from 4:00 PM to 7:00 PM, Friday Apr 1 from 4:00 PM to 7:00 PM, Friday Apr 8 from 4:00 PM to 7:00 PM, Friday Apr 15 from 4:00 PM to 7:00 PM",,https://www.facebook.com/larimervfd1/posts/3312636345727958,,,(724)863-9809,,,True,,False,,True,,40.344486,-79.72572
True,"Holy Trinity, West Mifflin ",Church,"529 Grant Avenue Ext. West Mifflin, PA 15122-3830",,"Wednesday Mar 2 from 11:00 AM to 6:30 PM, Friday Mar 4 from 11:00 AM to 6:30 PM, Friday Mar 11 from 11:00 AM to 6:30 PM, Friday Mar 18 from 11:00 AM to 6:30 PM, Friday Mar 25 from 11:00 AM to 6:30 PM, Friday Apr 1 from 11:00 AM to 6:30 PM, Friday Apr 8 from 11:00 AM to 6:30 PM, Friday Apr 15 from 11:00 AM to 6:30 PM",,,,Holy Trinity Church Social Hall,412-466-4695,,,True,False,True,,True,,40.370546,-79.86589
